custom/distance_covered,custom/reward,custom/center_lane_deviation,custom/mean_reward,custom/total_reward,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/std,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/ent_coef
19,-10,0.9040980114875257,0.0002063216839122691,25.28575397186814,,,,,,,,1.5442089164799996e-05,112512,1.3083550855517387,-1.5144354244694114,-3.4384595206938684,0.005802899046102539
,,,,,40,125.92,3005,122555,888,21.901503609999995,0.04918371140956879,,,,,,
9,-10,0.35104061866214,0.00029899383576125296,36.66561407940245,,,,,,,,1.53927753728e-05,112640,1.2597995987161994,-1.4354906510561705,-3.368214556190651,0.005792543925053906
9,-10,0.43265827115888694,0.0002758315392995355,33.86135559595028,,,,,,,,1.53435430912e-05,112768,1.3776765866205096,-1.463435996323824,-3.0346837900578976,0.0057828576464089565
9,-10,0.8839177071256811,2.6327967237774253e-05,3.235206942144938,,,,,,,,1.5294392320000006e-05,112896,1.567162286490202,-1.4899815355893224,-2.881119246245362,0.005773272430815268
12,-10,0.31910410972278214,0.0003707721267578372,45.6109039452421,,,,,,,,1.5245323059200001e-05,113024,1.3322223303839564,-1.579542719759047,-2.8296709563583136,0.0057647037610877305
,,,,,40,125.98,3019,123016,892,22.498829060000002,0.04917946085333824,,,,,,
10,-10,1.0074419299811783,-3.8398715018520534e-06,-0.4728302571235563,,,,,,,,1.5196335308800001e-05,113152,1.4730183528736234,-1.509394302032888,-3.1002154545858502,0.005755581070843618
12,-10,0.6553824019819912,0.0001761595297763399,21.71624219270808,,,,,,,,1.5147429068800001e-05,113280,1.4874610174447298,-1.5022170981392264,-2.9135131519287825,0.005745935362938326
12,-10,0.54440022474665,0.00018782411086868778,23.17618051241999,,,,,,,,1.5098604339200004e-05,113408,1.4110957337543368,-1.5413864189758897,-3.395316851325333,0.005736426159273833
21,-3,0.30617416117598045,0.0004872994392878749,60.22095200663487,,,,,,,,1.504986112e-05,113536,1.7398825772106647,-1.4626375744119287,-3.2986998772248626,0.005726192226575222
,,,,,40,127.09,3034,123581,896,22.708399489999998,0.0491747222840786,,,,,,
16,-10,0.4096721261631622,0.000470563629425827,58.217191105304465,,,,,,,,1.4976899123200001e-05,113728,1.5050844280049205,-1.5924653387628496,-2.7018575444817543,0.005711075413273647
12,-10,0.8671863768468685,6.525663250211039e-05,8.081903422121368,,,,,,,,1.492835968e-05,113856,1.413686546497047,-1.5249837972223759,-3.3261710616061464,0.005701350251911208
11,-10,0.502054302762954,0.0002958932860872654,36.687216755387865,,,,,,,,1.4879901747200005e-05,113984,1.504632662050426,-1.4400147059932351,-3.812368654180318,0.0056912101281341165
27,-10,0.6629685032758783,0.0004007028984386795,49.75928592811522,,,,,,,,1.4807367679999998e-05,114176,1.4642556235194206,-1.4743217546492815,-2.9825359103269875,0.005677023436874151
,,,,,40,128.64,3051,124180,900,23.52752686,0.04916713014245033,,,,,,
15,-10,0.4608871619470151,0.00029367523186684096,36.50441867151206,,,,,,,,1.4759113523200003e-05,114304,1.3668693797662854,-1.4965918511152267,-3.070460999617353,0.005668060541211162
12,-10,0.7119596099730079,0.00021207567400295777,26.39196932697208,,,,,,,,1.4710940876800002e-05,114432,1.6090988582000136,-1.4624477713368833,-3.187977083027363,0.005659216578351334
3,-10,0.7960227763185377,-5.110662351507797e-05,-6.363183480615328,,,,,,,,1.4686885120000004e-05,114496,1.3586418582126498,-1.4537044065073133,-3.023658925667405,0.0056546953492215835
10,-10,0.43774077573606485,0.00029620838177012653,36.91200749428432,,,,,,,,1.46388347392e-05,114624,1.5145082511007786,-1.482342523522675,-3.417128720320761,0.005645172030199319
,,,,,40,128.06,3063,124615,904,23.267917569999998,0.04916210472583771,,,,,,
9,-10,0.39497108135178605,0.0002908029662477823,36.275925221613356,,,,,,,,1.45908658688e-05,114752,1.5244229678064585,-1.4815670223906636,-3.088480745907873,0.0056361914103035815
13,-10,0.37719517227024296,0.0003346832865498987,41.7935754079186,,,,,,,,1.45429785088e-05,114880,1.389410253148526,-1.3972672102972865,-2.88285208446905,0.005627131089568138
13,-10,0.6508304850264682,0.00016242227217634145,20.302134332953976,,,,,,,,1.4495172659200006e-05,115008,1.4965186519548297,-1.5788942696526647,-3.4806195590645075,0.005618378731014673
11,-10,0.8996429285294453,6.0860040905809e-05,7.614869178175727,,,,,,,,1.4447448319999999e-05,115136,1.4006327772513032,-1.4773866292089224,-3.2048030998557806,0.005609049956547096
,,,,,40,127.72,3078,125121,908,23.910548750000004,0.04915596917271614,,,,,,
26,-10,0.5868390858063232,0.00042852724321684087,53.70474822890736,,,,,,,,1.4376014643200002e-05,115328,1.4421336259692907,-1.4632036201655865,-3.2616654131561518,0.005595069167611655
12,-10,0.6051410846547399,0.0002974974580287602,37.32879104361671,,,,,,,,1.4328494080000004e-05,115456,1.3876824174076319,-1.5238520842976868,-2.986964295618236,0.005586301878793165
11,-10,0.3024972156963325,0.0003164250206454827,39.73317341743262,,,,,,,,1.4281055027200005e-05,115584,1.3216063445433974,-1.5301077328622341,-2.9959837971255183,0.005578043572313618
12,-10,0.7844241486689756,0.00010994578260534743,13.819855036144357,,,,,,,,1.42336974848e-05,115712,1.2465844759717584,-1.4718362390995026,-3.025846602395177,0.005569500288402196
,,,,,40,129.28,3093,125697,912,24.858980370000005,0.04914994537830353,,,,,,
3,-10,0.4832009292543738,-2.48695289480912e-05,-3.127940133917223,,,,,,,,1.421004928e-05,115776,1.5023623602464795,-1.5167617164552212,-2.818755468353629,0.005565453255258035
9,-10,0.35046378537786177,0.0002822493377625853,35.53293362960739,,,,,,,,1.4162814003199998e-05,115904,1.4503681119531393,-1.5676965024322271,-2.6580783049575984,0.00555758267728379
12,-10,0.8030216016643755,7.132245396565922e-05,8.987841681390478,,,,,,,,1.41156602368e-05,116032,1.3304318943992257,-1.5049236910417676,-2.7549203764647245,0.005549826339120045
12,-10,0.682010693989542,0.00016226322466525447,20.46918126507252,,,,,,,,1.4068587980800004e-05,116160,1.4038354707881808,-1.421390788629651,-2.963914812542498,0.005541318190807942
,,,,,40,129.22,3106,126148,916,24.546948139999998,0.0491478368639946,,,,,,
14,-10,0.4422098922146259,0.00018608959339785818,23.498091227127745,,,,,,,,1.4021597235199995e-05,116288,1.6339855790138245,-1.4336021533235908,-2.9512628987431526,0.00553216506523313
29,-10,0.8387849886735529,0.00013514784359427366,17.091472040149817,,,,,,,,1.3951263948800002e-05,116480,1.4287659814581275,-1.5423390045762062,-3.0487681357190013,0.005518771387869492
3,-10,0.5662912516643653,-2.5508139825759028e-05,-3.228055094949805,,,,,,,,1.3927860275200002e-05,116544,1.4020215990021825,-1.5198292536661029,-3.0691757826134562,0.005514619668247178
7,-10,0.8923006807138311,2.7074738998264755e-05,3.42934059099821,,,,,,,,1.3881114060800005e-05,116672,1.4031519023701549,-1.473249714821577,-3.2774380799382925,0.0055063523395801894
,,,,,40,128.05,3121,126662,920,23.849741690000002,0.049141161143779755,,,,,,
3,-10,0.7743719424951075,-2.471454999278234e-05,-3.1329152152850606,,,,,,,,1.3857771519999998e-05,116736,1.415471836924553,-1.5553766330704093,-3.07937330880668,0.005501883184479084
12,-10,0.7092183487762512,0.0002076034451916312,26.3398947121334,,,,,,,,1.3811147571200001e-05,116864,1.457789096981287,-1.6319001475349069,-3.0207430319860578,0.005493278891663067
10,-10,0.33293230230662185,0.0002828347131546339,35.91350337223595,,,,,,,,1.3764605132800005e-05,116992,1.4005467733368278,-1.4647041214630008,-3.2984607070684433,0.005484999819600489
29,-3,0.6437581213702155,0.00044488081157242687,56.597736848244146,,,,,,,,1.3694944307200005e-05,117184,1.4108798643574119,-1.539703518152237,-3.053826858755201,0.005472898883454036
,,,,,40,128.51,3136,127220,924,24.04104167,0.049137502908706665,,,,,,
22,-10,0.4944142922821313,0.0004108107495515263,52.321267873631946,,,,,,,,1.3625466879999997e-05,117376,1.5478052720427513,-1.458245474845171,-3.044111717492342,0.005459936473926064
28,-3,0.34233332016265333,0.00044132111408033236,56.291832064288634,,,,,,,,1.3556172851200005e-05,117568,1.425698773469776,-1.5297347689047456,-3.3155918796546757,0.005447738047223538
11,-10,0.4728312174707167,0.0003075235570691806,39.26860557283488,,,,,,,,1.3510078720000005e-05,117696,1.3926162021234632,-1.5785782905295491,-3.1964013390243053,0.005439454849692993
12,-10,0.4548587417393238,0.00023456521976987255,29.980015304007182,,,,,,,,1.3464066099199997e-05,117824,1.2646090472117066,-1.4959092736244202,-3.3862947286106646,0.005431712561403401
,,,,,40,130.33,3152,127811,928,25.274723520000002,0.04913116618990898,,,,,,
12,-10,0.5550368394306243,0.00019123422414103657,24.465932933931796,,,,,,,,1.34181349888e-05,117952,1.3448976268991828,-1.4884814331308007,-3.110867492854595,0.005423231363238301
12,-10,0.3802074241340419,0.0003350161378043891,42.90752686543494,,,,,,,,1.3372285388800001e-05,118080,1.453742572106421,-1.6031680349260569,-3.1709982689935714,0.005414912229753099
12,-10,0.39204221980627013,0.0002807452021188178,35.99181565683456,,,,,,,,1.3326517299200001e-05,118208,1.4742863727733493,-1.5098416674882174,-3.0380256082862616,0.0054070151163614355
13,-10,0.4087884549692236,0.00023180878029726147,29.74593449652489,,,,,,,,1.3280830720000006e-05,118336,1.2372300205752254,-1.5670943604782224,-2.7689426043070853,0.005399121000664309
,,,,,40,130.56,3167,128321,932,25.7829385,0.04912523552775383,,,,,,
24,-10,0.28642358738223256,0.0005010921031111395,64.39684944712187,,,,,,,,1.32124536832e-05,118528,1.443508718162775,-1.5656868815422058,-2.5044552823528647,0.005388228782976512
10,-10,0.3307255757843177,0.00030388812095567624,39.092775655980105,,,,,,,,1.316697088e-05,118656,1.3510627141222358,-1.5458856774494052,-3.507859902456403,0.005380733229685575
11,-10,0.7848986992617435,0.00011556121421067101,14.881973166050212,,,,,,,,1.3121569587200005e-05,118784,1.292681037914008,-1.4768714746460319,-2.45031088963151,0.005372631472710054
12,-10,0.23000058601763945,0.00029926255207453665,38.574045174751554,,,,,,,,1.3076249804799994e-05,118912,1.266909170895815,-1.5311777535825968,-2.777030761586502,0.005365993507439271
,,,,,40,131.2,3182,128897,936,26.638256840000004,0.04912037029862404,,,,,,
10,-10,0.6130879521790351,0.00016258219986635018,20.97716833775583,,,,,,,,1.3031011532799997e-05,119040,1.461384305730462,-1.5494916765019298,-2.723267456982285,0.005358238398912363
10,-10,0.3411202137631249,0.0002655295240758467,34.29393462296783,,,,,,,,1.29858547712e-05,119168,1.5520111713558435,-1.4659158764407039,-2.885716016869992,0.005350661427655723
12,-10,0.34998465687358404,0.0003058767771324921,39.54497325479711,,,,,,,,1.2940779520000003e-05,119296,1.4627689579501748,-1.5628691893070936,-3.0702667590230703,0.0053434337678481825
30,-10,0.3051719257088002,0.0003647907206908703,47.23054898000905,,,,,,,,1.28733194752e-05,119488,1.3986614439636469,-1.5601459229364991,-3.080033189849928,0.005331917323928792
,,,,,40,132.48,3198,129473,940,27.1780898,0.049115512520074844,,,,,,
12,-10,0.4604399758104114,0.00030428585362690175,39.44153234711901,,,,,,,,1.2828447999999999e-05,119616,1.514389792457223,-1.4954336797818542,-3.1140163391828537,0.005324303456291091
8,-10,0.6854953568292297,0.0001229360338827538,15.94836873957577,,,,,,,,1.27836580352e-05,119744,1.4002371048554778,-1.4551142468117177,-2.9103938655462116,0.005316284077707678
3,-10,0.6618123549196427,-3.6378982466918736e-05,-4.72271950385539,,,,,,,,1.2761293619200004e-05,119808,1.5640477845445275,-1.463124173693359,-3.13372942362912,0.005312594352290034
9,-10,0.7464072056605049,0.0001334588192779087,17.339103259405178,,,,,,,,1.2716625920000004e-05,119936,1.3877133103087544,-1.4386747982352972,-3.3977952268905938,0.005304649013851304
,,,,,40,133.07,3211,129921,944,27.533559909999997,0.04911062866449356,,,,,,
4,-10,0.6140489136739594,-2.734810931208501e-05,-3.5555003435548604,,,,,,,,1.2694322636799995e-05,120000,1.498397153802216,-1.4891584273427725,-2.378735268022865,0.0053009849798399955
10,-10,0.9618041808021642,5.180957524337553e-05,6.741461930668024,,,,,,,,1.2649777203199998e-05,120128,1.476212072186172,-1.461500970646739,-2.793146921787411,0.00529393845499726
12,-10,0.5249382090562589,0.00018761404341208709,24.435040628033633,,,,,,,,1.2605313280000002e-05,120256,1.3049214757047594,-1.4856607923284173,-2.824266139185056,0.005287110281642526
11,-10,0.6674107352851029,0.00012519369426684156,16.32137672787387,,,,,,,,1.2560930867200005e-05,120384,1.403396469540894,-1.5561851048842072,-3.047881227452308,0.005279949509713333
,,,,,40,130.86,3224,130369,948,26.755123520000005,0.049106795340776443,,,,,,
4,-10,0.6624265215290991,-1.93711055738865e-05,-2.5272125464859547,,,,,,,,1.2538770227200004e-05,120448,1.369981269352138,-1.5456514516845345,-3.11473055370152,0.005275920404528733
19,-10,1.0015992914443226,0.0002255532934804442,29.462898960883024,,,,,,,,1.24724105728e-05,120640,1.5301127145066857,-1.5595391225069761,-2.9765938203781843,0.005264973755402025
12,-10,0.37345519721951026,0.0002314532447487191,30.26320611062927,,,,,,,,1.24282726912e-05,120768,1.3875215472653508,-1.5070371963083744,-2.79981887107715,0.005258028017124161
9,-10,0.2775091733260126,0.00029457577576205945,38.554372107514105,,,,,,,,1.2384216320000002e-05,120896,1.3497068528085947,-1.5329798520542681,-3.131446270737797,0.005251394417427946
,,,,,40,129.78,3239,130881,952,25.852205590000008,0.04910266399383545,,,,,,
25,-10,0.3591157585988901,0.0005191206048258114,68.047367121777,,,,,,,,1.2318284595199998e-05,121088,1.3466046527028084,-1.555728149600327,-3.1203438793309033,0.005240633894572966
3,-10,0.779537268869296,-3.624765518898232e-05,-4.754786169414755,,,,,,,,1.2296348108799997e-05,121152,1.3759687775745988,-1.5223838724195957,-2.6074904066044837,0.005237258621491492
17,-10,0.47150112150763607,0.0003648536644696848,47.91586690113923,,,,,,,,1.22306609152e-05,121344,1.3044462515972555,-1.5993468295782804,-2.9969128114171326,0.0052267008504713885
3,-10,0.5993969371575782,-2.1817878024327003e-05,-2.867196440566933,,,,,,,,1.22088059392e-05,121408,1.3971601845696568,-1.5092615969479084,-2.8079492524266243,0.005223126885539386
,,,,,40,130.75,3253,131415,956,26.15046776,0.049097947776317596,,,,,,
3,-10,0.9014930122113683,-3.9635594860175315e-05,-5.212001452923333,,,,,,,,1.21869713408e-05,121472,1.4356688540428877,-1.5790195548906922,-2.706426571821794,0.005219912891334388
10,-10,0.5317389545154397,0.0002387542546161367,31.418388627701276,,,,,,,,1.2143363276800005e-05,121600,1.5158548327162862,-1.6273608757182956,-2.8761914528440684,0.005212683056015521
4,-10,0.6592527074170129,-2.7366647808774283e-05,-3.603503350220354,,,,,,,,1.2121589811199997e-05,121664,1.28977295383811,-1.4782485757023096,-2.6700877002440393,0.005209480339544825
9,-10,1.1014450768035944,-1.4268677255282113e-05,-1.8802834826693111,,,,,,,,1.20781040128e-05,121792,1.5369252767413855,-1.6248696334660053,-2.9400251139886677,0.005202633394219447
,,,,,40,129.28,3265,131777,960,25.09712229,0.04909472167491913,,,,,,
4,-10,0.7015604088654828,-8.803681702670654e-06,-1.1609591134945845,,,,,,,,1.2056391680000002e-05,121856,1.4659024188295007,-1.6088023157790303,-2.821172451134771,0.005199186336540151
3,-10,0.9800132453492013,-3.4039212944355505e-05,-4.49140606958182,,,,,,,,1.2034699724800002e-05,121920,1.410581601317972,-1.60427070222795,-2.68802820565179,0.005196019497816451
6,-10,0.32768617817632495,0.00018153514394989668,23.96862966113671,,,,,,,,1.1991376947200004e-05,122048,1.4977698372676969,-1.6534655559808016,-2.821916486835107,0.005189364943362307
2,-10,0.6018444690350583,-4.7215504979236786e-05,-6.238065302351785,,,,,,,,1.1969746124800004e-05,122112,1.5038869203999639,-1.6216788990423083,-2.6732955435290933,0.0051863409098587
,,,,,40,126.22,3276,132119,964,23.99696508,0.04909226670861244,,,,,,
11,-10,1.0372694543853431,2.8122009167050768e-05,3.718966980287462,,,,,,,,1.1926545612799995e-05,122240,1.3687323816120625,-1.5170017834752798,-3.050142855849117,0.005179165418667253
2,-10,0.7113927535597775,-5.085836489838846e-05,-6.729375409895168,,,,,,,,1.1904975923199998e-05,122304,1.340562823228538,-1.6341202557086945,-2.740059628733434,0.005175712060008664
11,-10,0.4861486872567432,0.00022664947564363195,30.01224361630281,,,,,,,,1.1861897676799998e-05,122432,1.3531204722821712,-1.6297428980469704,-2.6417620151187293,0.005169029434910044
11,-10,0.6545849127041858,0.00014926611227053077,19.7844768508975,,,,,,,,1.1818900940800004e-05,122560,1.2725480133667588,-1.5897912727668881,-2.6308489355724305,0.0051626500935526565
,,,,,40,125.35,3288,132545,968,23.731459909999998,0.04908694699406624,,,,,,
13,-10,0.8624231231040503,5.1624330499397604e-05,6.849619419321073,,,,,,,,1.1775985715200005e-05,122688,1.337799054570496,-1.561634549871087,-2.9962167218327522,0.005156199978955556
